1001;1,4;1210;2,8;398
612;2,4;590;3,9;330
660;2,3;860;3,5;345
650;2,6;720;3,9;336
540;3,9;730;4,4;371
582;3,2;550;3,5;308
655;2,1;750;2,9;347
830;2,4;560;3,2;330
850;2,3;1150;3,1;375
770;2;690;2,9;350
1360;1;1371;2,8;440
750;1,9;1000;2,8;395
720;1,7;950;3;335
823;2,2;843;3,7;352
1260;0,8;1600;2;436
631;2,4;731;3,8;320
888;1,4;1050;2,8;345
887;1,8;1280;2,8;345
777;1,8;980;3,5;380
840;2;940;2,6;364
750;2;690;2,9;355
510;2,7;650;3,8;326
2080;0,6;2280;2,2;440
660;2,4;881;3,6;315
680;2,8;790;4,1;329
610;2,8;560;3,3;328
925;1,4;1220;2,9;370
755;1,5;652;3,6;350
1500;1,3;1600;2,4;420
1200;0,6;1500;2,6;410
1120;1,2;1100;2,9;418
507;2,1;520;3,2;347
