Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø HF,Max. HF,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Positiver Höhenunterschied,Negativer Höhenunterschied,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Kletterzeit,Grundzeit,Min. Temp.,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Läufe,Max. Temp.
Laufen,2019-12-08 20:26:48,false,"Aalen Laufen","10.61","731","01:02:55","157","167","5.0","165","173","5:56","5:25","28","55","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","03:32.19","11","0.0"
Laufen,2019-11-30 17:22:15,false,"Aalen Laufen","10.14","666","00:57:12","159","184","5.0","159","237","5:39","4:00","66","91","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:42.89","11","0.0"
Laufen,2019-11-26 20:18:25,false,"Aalen Laufen","13.07","865","01:14:03","158","174","5.0","164","169","5:40","4:47","42","45","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:25.25","14","0.0"
Laufen,2019-11-23 18:56:30,false,"Aalen Laufen","10.63","710","01:00:06","161","174","5.0","165","171","5:39","5:05","26","54","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","03:38.31","11","0.0"
Laufen,2019-11-19 19:17:35,false,"Aalen Laufen","11.01","818","01:08:58","160","175","5.0","162","169","6:16","5:11","70","83","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:04.38","12","0.0"
Laufen,2019-11-16 19:15:20,false,"Aalen Laufen","13.72","972","01:20:39","161","179","5.0","164","171","5:53","5:23","30","48","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","04:12.52","14","0.0"
Laufen,2019-11-10 20:21:27,false,"Aalen Laufen","11.03","783","01:07:11","156","178","5.0","164","169","6:05","5:42","33","53","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:11.53","12","0.0"
Laufen,2019-11-04 19:25:44,false,"Aalen Laufen","11.04","775","01:03:35","159","176","5.0","165","169","5:46","3:58","33","51","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:12.64","12","0.0"
Laufen,2019-11-01 11:02:04,false,"Aalen Laufen","10.24","713","01:00:31","156","174","5.0","163","171","5:55","4:50","161","183","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:32.32","11","0.0"
Laufen,2019-10-23 20:18:54,false,"Aalen Laufen","10.90","799","01:05:00","160","171","5.0","162","169","5:58","5:25","37","53","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","05:39.61","11","0.0"
